"id","V1","V2"
"1",1,669
"2",2,751
"3",2,912
"4",2,963
"5",3,284
"6",3,310
"7",4,677
"8",4,703
"9",5,1159
"10",7,702
"11",8,1118
"12",11,238
"13",12,138
"14",12,1308
"15",12,1309
"16",14,437
"17",14,452
"18",14,702
"19",15,805
"20",16,603
"21",16,610
"22",16,621
"23",16,970
"24",17,385
"25",17,597
"26",17,609
"27",19,68
"28",19,375
"29",19,419
"30",21,577
"31",21,914
"32",21,1220
"33",21,1338
"34",21,1363
"35",22,1388
"36",23,411
"37",25,447
"38",25,1404
"39",26,422
"40",31,89
"41",31,97
"42",31,377
"43",33,342
"44",35,772
"45",36,595
"46",37,73
"47",37,801
"48",38,1450
"49",40,671
"50",41,610
"51",42,1323
"52",43,1439
"53",44,433
"54",45,1088
"55",45,1336
"56",46,219
"57",47,1062
"58",50,287
"59",50,1396
"60",52,313
"61",53,1087
"62",53,1354
"63",53,1385
"64",53,1419
"65",55,1339
"66",57,1039
"67",59,1176
"68",59,1375
"69",60,394
"70",61,667
"71",62,777
"72",63,137
"73",63,264
"74",63,760
"75",63,1221
"76",63,1282
"77",63,1458
"78",64,686
"79",64,721
"80",64,1177
"81",65,86
"82",65,425
"83",65,1023
"84",65,1429
"85",66,915
"86",68,375
"87",68,419
"88",69,287
"89",69,706
"90",69,1075
"91",69,1226
"92",70,313
"93",70,1215
"94",71,120
"95",72,264
"96",72,301
"97",72,784
"98",72,1284
"99",72,1458
"100",73,130
"101",73,254
"102",74,901
"103",75,1017
"104",78,283
"105",78,375
"106",78,876
"107",78,905
"108",78,1274
"109",80,280
"110",82,674
"111",82,905
"112",83,291
"113",83,402
"114",83,425
"115",83,590
"116",83,817
"117",84,320
"118",84,346
"119",86,812
"120",87,773
"121",90,283
"122",90,1274
"123",92,766
"124",92,1121
"125",92,1267
"126",92,1349
"127",93,588
"128",93,1430
"129",94,108
"130",94,1293
"131",97,377
"132",97,665
"133",100,1401
"134",102,689
"135",102,1377
"136",106,870
"137",107,1103
"138",108,1293
"139",109,336
"140",109,1232
"141",114,150
"142",114,890
"143",114,1061
"144",114,1261
"145",115,731
"146",115,1263
"147",118,176
"148",119,1178
"149",120,277
"150",121,285
"151",121,291
"152",121,296
"153",121,677
"154",121,794
"155",122,183
"156",122,530
"157",122,722
"158",122,1143
"159",122,1160
"160",122,1414
"161",122,1415
