"id","Grade"
"1",9
"2",10
"3",12
"4",11
"5",9
"6",11
"7",9
"8",12
"9",10
"10",9
"11",9
"12",9
"13",11
"14",10
"15",10
"16",10
"17",12
"18",10
"19",12
"20",12
"21",12
"22",11
"23",10
"24",11
"25",11
"26",9
"27",10
"28",12
"29",12
"30",9
"31",9
"32",9
"33",10
"34",9
"35",10
"36",9
"37",10
"38",9
"39",9
"40",10
"41",10
"42",12
"43",10
"44",9
"45",10
"46",11
"47",10
"48",11
"49",9
"50",10
"51",10
"52",9
"53",10
"54",10
"55",9
"56",9
"57",11
"58",10
"59",11
"60",11
"61",12
"62",9
"63",11
"64",9
"65",11
"66",9
"67",12
"68",12
"69",10
"70",10
"71",9
"72",12
"73",10
"74",11
"75",9
"76",10
"77",9
"78",12
"79",9
"80",10
"81",12
"82",12
"83",11
"84",10
"85",10
"86",11
"87",10
"88",9
"89",9
"90",12
"91",10
"92",10
"93",10
"94",9
"95",10
"96",12
"97",9
"98",9
"99",11
"100",11
"101",11
"102",10
"103",11
"104",9
"105",12
"106",12
"107",11
"108",9
"109",10
"110",11
"111",10
"112",9
"113",12
"114",7
"115",7
"116",9
"117",12
"118",11
"119",12
"120",9
"121",10
"122",8
"123",8
"124",7
"125",8
"126",8
"127",7
"128",11
"129",10
"130",10
"131",9
"132",12
"133",11
"134",10
"135",9
"136",11
"137",11
"138",9
"139",9
"140",9
"141",11
"142",9
"143",11
"144",11
"145",10
"146",9
"147",8
"148",7
"149",8
"150",7
"151",7
"152",7
"153",10
"154",7
"155",7
"156",10
"157",12
"158",10
"159",9
"160",9
"161",9
"162",7
"163",8
"164",9
"165",7
"166",8
"167",7
"168",8
"169",8
"170",8
"171",10
"172",9
"173",7
"174",7
"175",7
"176",11
"177",8
"178",11
"179",9
"180",8
"181",8
"182",7
"183",8
"184",7
"185",7
"186",8
"187",8
"188",8
"189",12
"190",8
"191",7
"192",7
"193",8
"194",12
"195",12
"196",11
"197",12
"198",7
"199",7
"200",8
"201",7
"202",8
"203",8
"204",7
"205",8
"206",7
"207",8
"208",7
"209",8
"210",8
"211",7
"212",8
"213",7
"214",8
"215",7
"216",11
"217",12
"218",9
"219",9
"220",11
"221",9
"222",10
"223",9
"224",11
"225",9
"226",9
"227",11
"228",9
"229",11
"230",11
"231",9
"232",12
"233",12
"234",11
"235",10
"236",11
"237",11
"238",9
"239",9
"240",9
"241",9
"242",9
"243",9
"244",9
"245",9
"246",9
"247",9
"248",11
"249",9
"250",10
"251",10
"252",9
"253",9
"254",10
"255",11
"256",9
"257",11
"258",10
"259",11
"260",12
"261",10
"262",10
"263",11
"264",11
"265",9
"266",9
"267",11
"268",11
"269",12
"270",11
"271",12
"272",10
"273",11
"274",11
"275",9
"276",9
"277",9
"278",10
"279",9
"280",9
"281",9
"282",12
"283",12
"284",12
"285",11
"286",9
"287",10
"288",12
"289",10
"290",12
"291",11
"292",10
"293",9
"294",9
"295",9
"296",11
"297",9
"298",11
"299",10
"300",12
"301",12
"302",12
"303",9
"304",12
"305",10
"306",10
"307",10
"308",10
"309",10
"310",12
"311",9
"312",10
"313",9
"314",10
"315",10
"316",12
"317",9
"318",11
"319",11
"320",10
"321",10
"322",11
"323",11
"324",11
"325",9
"326",11
"327",11
"328",9
"329",11
"330",11
"331",9
"332",9
"333",9
"334",9
"335",10
"336",10
"337",9
"338",11
"339",9
"340",10
"341",11
"342",10
"343",12
"344",12
"345",12
"346",10
"347",11
"348",9
"349",9
"350",9
"351",9
"352",12
"353",9
"354",10
"355",8
"356",7
"357",9
"358",11
"359",10
"360",10
"361",11
"362",11
"363",10
"364",10
"365",12
"366",11
"367",10
"368",11
"369",11
"370",9
"371",9
"372",9
"373",11
"374",9
"375",12
"376",12
"377",9
"378",12
"379",12
"380",9
"381",12
"382",10
"383",10
"384",10
"385",12
"386",10
"387",12
"388",12
"389",12
"390",12
"391",12
"392",12
"393",11
"394",11
"395",11
"396",9
"397",12
"398",9
"399",10
"400",9
"401",9
"402",11
"403",9
"404",10
"405",9
"406",11
"407",10
"408",10
"409",10
"410",10
"411",10
"412",10
"413",9
"414",11
"415",11
"416",11
"417",10
"418",11
"419",12
"420",11
"421",10
"422",10
"423",9
"424",9
"425",11
"426",9
"427",12
"428",10
"429",9
"430",10
"431",9
"432",9
"433",10
"434",9
"435",11
"436",10
"437",8
"438",10
"439",11
"440",10
"441",10
"442",9
"443",11
"444",11
"445",10
"446",9
"447",11
"448",9
"449",10
"450",12
"451",9
"452",10
"453",11
"454",10
"455",11
"456",9
"457",9
"458",12
"459",12
"460",12
"461",11
"462",12
"463",10
"464",12
"465",9
"466",10
"467",12
"468",10
"469",10
"470",7
"471",7
"472",8
"473",8
"474",7
"475",8
"476",7
"477",7
"478",7
"479",8
"480",7
"481",8
"482",7
"483",8
"484",8
"485",8
"486",8
"487",8
"488",7
"489",7
"490",8
"491",8
"492",8
"493",8
"494",7
"495",8
"496",8
"497",8
"498",7
"499",8
"500",7
"501",8
"502",8
"503",7
"504",8
"505",7
"506",8
"507",8
"508",8
"509",7
"510",7
"511",8
"512",7
"513",7
"514",7
"515",8
"516",7
"517",7
"518",8
"519",8
"520",8
"521",8
"522",7
"523",7
"524",7
"525",7
"526",7
"527",7
"528",8
"529",7
"530",8
"531",7
"532",7
"533",8
"534",7
"535",8
"536",8
"537",8
"538",7
"539",8
"540",8
"541",7
"542",7
"543",8
"544",7
"545",7
"546",8
"547",7
"548",8
"549",7
"550",8
"551",7
"552",8
"553",7
"554",7
"555",8
"556",8
"557",7
"558",8
"559",8
"560",7
"561",8
"562",8
"563",8
"564",7
"565",7
"566",7
"567",8
"568",8
"569",8
"570",8
"571",10
"572",11
"573",11
"574",10
"575",10
"576",9
"577",12
"578",12
"579",12
"580",9
"581",9
"582",11
"583",9
"584",10
"585",10
"586",12
"587",10
"588",10
"589",11
"590",11
"591",10
"592",9
"593",7
"594",10
"595",9
"596",12
"597",12
"598",12
"599",12
"600",10
"601",12
"602",8
"603",10
"604",11
"605",9
"606",11
"607",11
"608",9
"609",12
"610",10
"611",12
"612",12
"613",10
"614",9
"615",11
"616",11
"617",9
"618",11
"619",9
"620",11
"621",10
"622",8
"623",8
"624",7
"625",8
"626",7
"627",7
"628",8
"629",7
"630",8
"631",7
"632",7
"633",8
"634",7
"635",7
"636",7
"637",8
"638",8
"639",7
"640",8
"641",8
"642",11
"643",9
"644",10
"645",7
"646",8
"647",8
"648",7
"649",7
"650",8
"651",8
"652",7
"653",9
"654",12
"655",10
"656",12
"657",11
"658",8
"659",12
"660",12
"661",9
"662",9
"663",12
"664",9
"665",9
"666",11
"667",12
"668",9
"669",9
"670",12
"671",10
"672",9
"673",10
"674",12
"675",10
