"id","Race"
"1","Black"
"2","Black"
"3","Black"
"4","Hisp"
"5","Black"
"6","White"
"7","White"
"8","White"
"9","White"
"10","White"
"11","White"
"12","White"
"13","White"
"14","White"
"15","White"
"16","White"
"17","White"
"18","White"
"19","White"
"20","White"
"21","White"
"22","White"
"23","Asian"
"24","White"
"25","White"
"26","White"
"27","Black"
"28","White"
"29","White"
"30","Black"
"31","White"
"32","Asian"
"33","White"
"34","Black"
"35","White"
"36","White"
"37","White"
"38","White"
"39","Hisp"
"40","White"
"41","Black"
"42","Black"
"43","White"
"44","White"
"45","Black"
"46","White"
"47","Black"
"48","White"
"49","Black"
"50","White"
"51","White"
"52","White"
"53","White"
"54","White"
"55","White"
"56","Black"
"57","White"
"58","White"
"59","White"
"60","White"
"61","White"
"62","White"
"63","White"
"64","White"
"65","Hisp"
"66","White"
"67","White"
"68","Hisp"
"69","White"
"70","Black"
"71","White"
"72","NatAm"
"73","White"
"74","White"
"75","White"
"76","White"
"77","Hisp"
"78","Hisp"
"79","White"
"80","White"
"81","Asian"
"82","White"
"83","White"
"84","White"
"85","Black"
"86","White"
"87","White"
"88","White"
"89","Black"
"90","White"
"91","Black"
"92","White"
"93","Black"
"94","Black"
"95","Other"
"96","White"
"97","White"
"98","Asian"
"99","White"
"100","White"
"101","Black"
"102","White"
"103","Black"
"104","Black"
"105","White"
"106","Black"
"107","White"
"108","White"
"109","Black"
"110","Asian"
"111","White"
"112","White"
"113","Hisp"
"114","NatAm"
"115","Black"
"116","White"
"117","White"
"118","White"
"119","White"
"120","White"
"121","White"
"122","White"
"123","White"
"124","White"
"125","White"
"126","White"
"127","White"
"128","White"
"129","Black"
"130","White"
"131","White"
"132","White"
"133","White"
"134","White"
"135","White"
"136","White"
"137","White"
"138","White"
"139","Black"
"140","White"
"141","White"
"142","Hisp"
"143","White"
"144","White"
"145","White"
"146","White"
"147","Black"
"148","White"
"149","Black"
"150","White"
"151","White"
"152","White"
"153","Asian"
"154","Black"
"155","White"
"156","White"
"157","White"
"158","White"
"159","White"
"160","Black"
"161","White"
"162","White"
"163","Black"
"164","Black"
"165","Hisp"
"166","White"
"167","White"
"168","Black"
"169","Black"
"170","White"
"171","Black"
"172","Asian"
"173","White"
"174","Black"
"175","White"
"176","White"
"177","White"
"178","White"
"179","Black"
"180","White"
"181","Black"
"182","White"
"183","White"
"184","Black"
"185","White"
"186","Black"
"187","White"
"188","Black"
"189","White"
"190","White"
"191","White"
"192","Black"
"193","White"
"194","White"
"195","White"
"196","White"
"197","White"
"198","White"
"199","White"
"200","White"
"201","White"
"202","White"
"203","White"
"204","White"
"205","Black"
"206","White"
"207","White"
"208","Black"
"209","White"
"210","White"
"211","White"
"212","Black"
"213","White"
"214","Black"
"215","White"
"216","White"
"217","White"
"218","White"
"219","White"
"220","White"
"221","White"
"222","White"
"223","White"
"224","White"
"225","White"
"226","White"
"227","White"
"228","Black"
"229","White"
"230","Asian"
"231","White"
"232","Hisp"
"233","White"
"234","White"
"235","White"
"236","White"
"237","White"
"238","White"
"239","White"
"240","White"
"241","White"
"242","Black"
"243","Black"
"244","White"
"245","White"
"246","White"
"247","Black"
"248","White"
"249","White"
"250","White"
"251","White"
"252","Hisp"
"253","Black"
"254","White"
"255","White"
"256","Black"
"257","White"
"258","White"
"259","White"
"260","White"
"261","Black"
"262","White"
"263","White"
"264","White"
"265","White"
"266","White"
"267","White"
"268","White"
"269","White"
"270","White"
"271","White"
"272","Hisp"
"273","White"
"274","White"
"275","White"
"276","Hisp"
"277","White"
"278","White"
"279","White"
"280","Black"
"281","White"
"282","White"
"283","Hisp"
"284","Black"
"285","White"
"286","Black"
"287","White"
"288","White"
"289","Black"
"290","White"
"291","White"
"292","White"
"293","Black"
"294","White"
"295","Black"
"296","White"
"297","White"
"298","White"
"299","White"
"300","White"
"301","NatAm"
"302","White"
"303","White"
"304","White"
"305","White"
"306","White"
"307","White"
"308","White"
"309","Black"
"310","Black"
"311","White"
"312","Black"
"313","Black"
"314","White"
"315","White"
"316","White"
"317","White"
"318","White"
"319","Hisp"
"320","NatAm"
"321","White"
"322","Black"
"323","Asian"
"324","White"
"325","White"
"326","White"
"327","White"
"328","White"
"329","White"
"330","White"
"331","White"
"332","White"
"333","White"
"334","White"
"335","White"
"336","Black"
"337","White"
"338","White"
"339","White"
"340","Black"
"341","White"
"342","White"
"343","White"
"344","White"
"345","Hisp"
"346","White"
"347","White"
"348","White"
"349","Black"
"350","White"
"351","White"
"352","Black"
"353","Black"
"354","Hisp"
"355","Asian"
"356","White"
"357","White"
"358","White"
"359","White"
"360","White"
"361","White"
"362","Black"
"363","White"
"364","White"
"365","White"
"366","White"
"367","White"
"368","Black"
"369","White"
"370","White"
"371","White"
