"id","Sex"
"1","F"
"2","M"
"3","F"
"4","F"
"5","F"
"6","M"
"7","M"
"8","F"
"9","F"
"10","M"
"11","M"
"12","F"
"13","M"
"14","F"
"15","M"
"16","M"
"17","F"
"18","M"
"19","M"
"20","F"
"21","M"
"22","F"
"23","M"
"24","M"
"25","F"
"26","M"
"27","M"
"28","M"
"29","M"
"30","F"
"31","F"
"32","M"
"33","M"
"34","M"
"35","F"
"36","M"
"37","M"
"38","M"
"39","F"
"40","F"
"41","F"
"42","F"
"43","M"
"44","M"
"45","M"
"46","F"
"47","F"
"48","M"
"49","M"
"50","F"
"51","F"
"52","F"
"53","M"
"54","M"
"55","F"
"56","F"
"57","M"
"58","F"
"59","F"
"60","F"
"61","F"
"62","M"
"63","F"
"64","M"
"65","M"
"66","F"
"67","F"
"68","M"
"69","F"
"70","F"
"71","M"
"72","M"
"73","F"
"74","M"
"75","F"
"76","F"
"77","F"
"78","F"
"79","M"
"80","M"
"81","F"
"82","M"
"83","M"
"84","F"
"85","M"
"86","M"
"87","F"
"88","M"
"89","M"
"90","F"
"91","F"
"92","M"
"93","M"
"94","M"
"95","F"
"96","F"
"97","F"
"98","M"
"99","M"
"100","M"
"101","F"
"102","M"
"103","M"
"104","M"
"105","F"
"106","M"
"107","M"
"108","M"
"109","F"
"110","M"
"111","M"
"112","F"
"113","F"
"114","F"
"115","F"
"116","F"
"117","M"
"118","M"
"119","M"
"120","M"
"121","F"
"122","F"
"123","F"
"124","M"
"125","M"
"126","F"
"127","F"
"128","M"
"129","F"
"130","M"
"131","M"
"132","F"
"133","M"
"134","F"
"135","M"
"136","M"
"137","M"
"138","F"
"139","M"
"140","M"
"141","F"
"142","F"
"143","M"
"144","F"
"145","M"
"146","M"
"147","M"
"148","F"
"149","M"
"150","F"
"151","F"
"152","M"
"153","M"
"154","F"
"155","M"
"156","F"
"157","F"
"158","M"
"159","F"
"160","M"
"161","M"
"162","M"
"163","M"
"164","M"
"165","F"
"166","M"
"167","F"
"168","F"
"169","F"
"170","M"
"171","M"
"172","M"
"173","M"
"174","M"
"175","F"
"176","M"
"177","M"
"178","M"
"179","F"
"180","M"
"181","M"
"182","M"
"183","M"
"184","M"
"185","F"
"186","M"
"187","M"
"188","M"
"189","M"
"190","M"
"191","M"
"192","M"
"193","M"
"194","F"
"195","M"
"196","M"
"197","M"
"198","F"
"199","F"
"200","M"
"201","F"
"202","M"
"203","M"
"204","M"
"205","F"
"206","F"
"207","M"
"208","M"
"209","F"
"210","F"
"211","F"
"212","M"
"213","F"
"214","F"
"215","F"
"216","F"
"217","F"
"218","M"
"219","M"
"220","M"
"221","M"
"222","F"
"223","F"
"224","M"
"225","F"
"226","F"
"227","F"
"228","M"
"229","M"
"230","M"
"231","M"
"232","F"
"233","M"
"234","F"
"235","F"
"236","F"
"237","F"
"238","F"
"239","M"
"240","M"
"241","M"
"242","F"
"243","F"
"244","F"
"245","M"
"246","F"
"247","F"
"248","F"
"249","F"
"250","F"
"251","F"
"252","M"
"253","F"
"254","F"
"255","M"
"256","M"
"257","M"
"258","M"
"259","F"
"260","M"
"261","F"
"262","M"
"263","F"
"264","F"
"265","M"
"266","M"
"267","M"
"268","F"
"269","M"
"270","M"
"271","M"
"272","M"
"273","F"
"274","F"
"275","F"
"276","M"
"277","F"
"278","F"
"279","M"
"280","M"
"281","M"
"282","F"
"283","M"
"284","F"
"285","M"
"286","M"
"287","M"
"288","F"
"289","F"
"290","M"
"291","F"
"292","M"
"293","F"
"294","M"
"295","F"
"296","F"
"297","M"
"298","M"
"299","M"
"300","M"
"301","M"
"302","F"
"303","F"
"304","F"
"305","M"
"306","F"
"307","F"
"308","M"
"309","F"
"310","F"
"311","F"
"312","M"
"313","F"
"314","M"
"315","M"
"316","F"
"317","F"
"318","F"
"319","M"
"320","F"
"321","M"
"322","M"
"323","M"
"324","M"
"325","F"
"326","M"
"327","F"
"328","F"
"329","M"
"330","F"
"331","F"
"332","M"
"333","M"
"334","M"
"335","M"
"336","F"
"337","F"
"338","F"
"339","F"
"340","M"
"341","M"
"342","F"
"343","M"
"344","M"
"345","F"
"346","F"
"347","F"
"348","F"
"349","F"
"350","M"
"351","F"
